epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.32685,3.04656,13.6832,4.55393,0.00258,0.94915,0.0174,0.00881,2.81093,3.44694,4.15587,0.00032,0.00032,0.00032
2,8.91223,3.01185,16.4552,3.97386,0.00259,0.94915,0.03473,0.01211,2.76412,3.47491,4.1252,0.000657822,0.000657822,0.000657822
3,12.4883,3.01413,8.64329,4.22225,0.00254,0.9322,0.03511,0.0123,2.72118,3.56112,3.95555,0.0009934,0.0009934,0.0009934
4,15.849,2.81101,7.70736,4.07697,0.00248,0.9322,0.02717,0.0072,2.60208,2.94354,3.92726,0.00132673,0.00132673,0.00132673
5,19.2116,2.90501,7.20774,4.0303,0.00311,0.81356,0.00878,0.00238,2.86711,2.93473,3.88436,0.00165782,0.00165782,0.00165782
6,22.5024,2.7414,9.29155,3.72532,0.00321,0.77966,0.00887,0.00265,2.79025,3.00144,3.71118,0.001967,0.001967,0.001967
7,25.8497,3.05967,5.83923,3.96892,0.005,0.89831,0.01948,0.0085,2.25525,3.07305,3.91559,0.0019604,0.0019604,0.0019604
8,29.229,2.93338,6.10585,3.81921,0.00296,0.94915,0.01353,0.00538,2.24999,3.12513,3.58544,0.0019538,0.0019538,0.0019538
9,32.5535,3.155,6.38585,3.72268,0.00448,0.91525,0.06964,0.02889,2.3181,3.15738,3.59212,0.0019472,0.0019472,0.0019472
10,35.9161,3.15233,5.25671,3.66229,0.29102,0.25424,0.15189,0.05408,2.41754,12.0412,9.30474,0.0019406,0.0019406,0.0019406
11,39.2486,2.89847,5.4874,3.60842,0.18287,0.10169,0.07498,0.02627,2.57153,7.88745,15.9663,0.001934,0.001934,0.001934
12,42.6476,2.89401,5.17058,3.57642,0.14562,0.11864,0.07459,0.03432,2.9968,24.6765,13.1236,0.0019274,0.0019274,0.0019274
13,45.9753,2.91521,5.19098,3.58998,0.26275,0.0678,0.07678,0.02997,3.53068,4.28284,6.13283,0.0019208,0.0019208,0.0019208
14,49.3699,2.9598,5.19882,3.587,0.21223,0.0678,0.04565,0.02391,2.84914,3.72043,4.38052,0.0019142,0.0019142,0.0019142
15,52.7387,3.07884,5.00869,3.52516,0.0295,0.0339,0.00971,0.00466,3.26761,3.67489,4.11853,0.0019076,0.0019076,0.0019076
16,56.1211,2.7635,4.90227,3.36062,0.00651,0.9661,0.08923,0.03705,3.90521,3.52871,5.32852,0.001901,0.001901,0.001901
17,59.487,2.74691,4.70274,3.39688,0.00584,0.9661,0.0158,0.00835,3.71242,3.50435,4.75466,0.0018944,0.0018944,0.0018944
18,62.8637,2.9226,4.86166,3.44051,0.00435,0.89831,0.00678,0.00316,3.47351,3.48215,3.97191,0.0018878,0.0018878,0.0018878
19,66.2219,3.04173,4.77948,3.39865,0.0081,0.91525,0.06291,0.01603,3.67864,3.61013,4.1363,0.0018812,0.0018812,0.0018812
20,69.6307,2.95687,4.75634,3.37478,0.00645,0.9322,0.00903,0.00361,3.81751,3.60525,4.42504,0.0018746,0.0018746,0.0018746
21,72.9911,2.93625,4.93699,3.41017,0.16843,0.05085,0.10397,0.05623,3.62068,3.48598,4.53986,0.001868,0.001868,0.001868
22,76.3763,2.72904,4.71241,3.24071,0.00626,0.74576,0.00705,0.00332,3.71809,3.62227,4.46958,0.0018614,0.0018614,0.0018614
23,79.7418,2.79196,4.52774,3.25146,0.02642,0.0678,0.01706,0.00693,3.82204,3.84121,5.11794,0.0018548,0.0018548,0.0018548
24,83.1294,2.86173,5.23551,3.23425,0.36217,0.07733,0.12539,0.06734,3.76036,3.9142,4.46067,0.0018482,0.0018482,0.0018482
25,86.5281,2.97785,4.50465,3.17463,0.28373,0.11864,0.11011,0.05423,3.89404,3.97657,4.83256,0.0018416,0.0018416,0.0018416
26,89.8939,2.90958,4.61348,3.29084,0.00614,0.74576,0.1661,0.06385,3.61957,3.85565,4.39775,0.001835,0.001835,0.001835
27,93.3249,2.92642,4.64908,3.23453,0.00279,0.54237,0.01015,0.00241,3.51326,3.85603,4.2645,0.0018284,0.0018284,0.0018284
28,96.7762,3.06364,4.60262,3.30698,0.00829,0.62712,0.13654,0.04094,3.59401,3.57781,4.2794,0.0018218,0.0018218,0.0018218
29,100.468,2.8166,4.71039,3.13372,0.00593,0.84746,0.01811,0.0062,3.63296,3.66688,4.65736,0.0018152,0.0018152,0.0018152
30,103.95,2.75038,4.28591,3.11713,0.00436,0.86441,0.00633,0.00237,3.61101,3.66625,4.7242,0.0018086,0.0018086,0.0018086
31,107.408,2.96204,4.58171,3.27954,0.00372,0.37288,0.04697,0.01225,3.38031,3.86164,4.10791,0.001802,0.001802,0.001802
32,110.81,2.62011,4.29412,3.07148,0.00317,0.16949,0.00201,0.00072,2.7887,4.19421,3.76153,0.0017954,0.0017954,0.0017954
33,114.2,3.20737,4.69555,3.31445,0.00814,0.23729,0.00705,0.00242,3.57156,4.28144,4.5678,0.0017888,0.0017888,0.0017888
34,117.653,2.79877,4.18827,3.11537,0.00462,0.20339,0.00332,0.00099,3.64517,4.12906,5.17686,0.0017822,0.0017822,0.0017822
35,121.04,2.94061,4.12238,3.15717,0.00258,0.23729,0.00173,0.00041,3.68322,4.08834,5.94101,0.0017756,0.0017756,0.0017756
36,124.438,2.69031,4.29965,2.95364,0.00468,0.11864,0.00266,0.00052,3.62869,4.14279,5.67326,0.001769,0.001769,0.001769
37,127.789,2.95099,4.1376,3.2426,0.00733,0.13559,0.00445,0.00139,3.61597,4.26158,5.04795,0.0017624,0.0017624,0.0017624
38,131.146,2.74714,4.07269,3.04588,0.02012,0.22034,0.0282,0.00779,3.50978,4.1993,4.59507,0.0017558,0.0017558,0.0017558
39,134.567,2.6238,3.75027,3.08468,0.00313,0.25424,0.01157,0.00261,3.19349,3.94352,4.15263,0.0017492,0.0017492,0.0017492
40,137.978,2.63539,3.80193,3.00039,0.00422,0.13559,0.00474,0.00174,3.50404,4.2892,4.64872,0.0017426,0.0017426,0.0017426
41,141.336,2.73913,3.98038,3.12195,0.0067,0.08475,0.00631,0.00224,3.56395,4.55011,5.25641,0.001736,0.001736,0.001736
42,144.755,2.9054,4.06641,3.22121,0.01086,0.35593,0.0601,0.01017,3.5025,4.01801,4.77174,0.0017294,0.0017294,0.0017294
43,148.203,2.52863,3.70357,2.9945,0.13949,0.11864,0.07593,0.01246,3.29049,3.21022,4.03133,0.0017228,0.0017228,0.0017228
44,151.666,2.47216,3.53831,2.97027,0.02604,0.42373,0.08721,0.01595,2.95721,3.05383,3.68018,0.0017162,0.0017162,0.0017162
45,155.081,2.61767,3.6567,2.96916,0.02281,0.67797,0.08532,0.02187,2.98059,3.36045,4.09723,0.0017096,0.0017096,0.0017096
46,158.497,2.58976,3.42364,2.93269,0.03642,0.20339,0.058,0.01031,3.32921,3.79415,5.04557,0.001703,0.001703,0.001703
47,161.945,2.55132,3.49836,2.87814,0.02308,0.15254,0.03143,0.00715,2.91478,3.81405,3.76414,0.0016964,0.0016964,0.0016964
48,165.401,2.61778,3.70495,2.89955,0.01121,0.38983,0.05861,0.01928,2.95137,3.96184,3.93234,0.0016898,0.0016898,0.0016898
49,168.81,2.55734,3.53639,2.85061,0.016,0.20339,0.02663,0.00937,2.94156,4.24603,4.3963,0.0016832,0.0016832,0.0016832
